 num  gender midexam  finexam
 1A01   1      98       100
 1A02   1      100      89
 1A03   1      100      87
 1A04   1      88       74
 1A05   1      92       80
 1A06   1      100      95
 1A07   1      100      100
 1A08   1      88       72
 1A09   1      96       95
 1A10   1      89       76
 1A11   1      93       90
 1A12   0      98       96
 1A13   0      82       90
 1A14   0      100      94
 1A15   0      13       24
 1A16   0      88       90
 1A17   0      88       88
 1A18   0      72       71
 1A19   0      92       89
 1A20   0      96       84
 1A21   0      88       88
 2A01   1      67       82
 2A02   1      81       74
 2A03   1      90       89
 2A04   1      75       72
 2A05   1      67       64
 2A06   1      92       96
 2A07   1      87       96
 2A08   1      74       81
 2A09   1      92       93
 2A10   0      61       66
 2A11   0      60       67
 2A12   0      87       82
 2A13   0      81       89
 2A14   0      88       88
 2A15   0      43       78
 2A16   0      77       82
 2A17   0      94       80
 2A18   0      82       75
 2A19   0      79       89
 3A01   1      98       97
 3A02   1      99       85
 3A03   1      100      94
 3A04   1      100      90
 3A05   1      95       89
 3A06   1      100      96
 3A07   1      88       73
 3A08   1      96       89
 3A09   1      95       91
 3A10   0      93       81
 3A11   0      96       92
 3A12   0      92       78
 3A13   0      99       87
 3A14   0      77       66
 3A15   0      91       66
 3A16   0      62       57
 3B01   1      96       94
 3B02   1      98       94
 3B03   1      97       91
 3B04   1      57       58
 3B05   1      100      93
 3B06   1      40       28
 3B07   1      100      98
 3B08   1      95       96
 3B09   1      99       92
 3B10   0      80       72
 3B11   0      100      92
 3B12   0      88       81
 3B13   0      98       92
 3B14   0      64       74
 3B15   0      94       86
 4A01   1      90       75
 4A02   1             
 4A03   1      72       70
 4A04   1      83       90
 4A05   1      100      79
 4A06   1      87       85
 4A07   1      79       82
 4A08   0      82       89
 4A09   0      98       98
 4A10   0      90       92
 4A11   0      78       71
 4A12   0      65       74
 4A13   0      91       91
 4A14   0      04       05
 4A15   0      73       63
 4A16   0      83       89
 4A17   0      87       70
 4B01   1      69       83
 4B02   1      96       88
 4B03   1      77       75
 4B04   1      63       73
 4B05   1      96       74
 4B06   1      86       90
 4B07   1      100      96
 4B08   1      88       79
 4B09   0      91       98
 4B10   0      65       70
 4B11   0      81       90
 4B12   0      93       92
 4B13   0      83       83
 4B14   0      100      95
 4B15   0      44       55
 4B16   0      89       83
 4B17   0      77       61
 5A01   1      90       99
 5A02   1      89       81
 5A03   1      70       64
 5A04   1      72       67
 5A05   1      72       77
 5A06   1      87       61
 5A07   1      97       72
 5A08   1      94       91
 5A09   1      73       69
 5A10   1      79       76
 5A11   0      16       24
 5A12   0      87       69
 5A13   0      82       70
 5A14   0      84       81
 5A15   0      57       58
 5A16   0      85       75
 5A17   0      66       61
 5A18   0      92       83
 5A19   0      95       90
 5B01   1      78       69
 5B02   1      73       55
 5B03   1      84       51
 5B04   1      84       55
 5B05   1      80       54
 5B06   1      81       74
 5B07   1      91       73
 5B08   1      97       98
 5B09   1      82       84
 5B10   1      52       45
 5B11   0      80       85
 5B12   0      93       62
 5B13   0      91       80
 5B14   0      52       39
 5B15   0      84       81
 5B16   0      81       74
 5B17   0      86       75
 5B18   0      50       37
 6A01   1      90       90
 6A02   1      85       74
 6A03   1      82       81
 6A04   1      97       93
 6A05   1      98       89
 6A06   1      90       84
 6A07   1      92       84
 6A08   1      96       90
 6A09   1      74       63
 6A10   1      21       32
 6A11   1      99       84
 6A12   1      93       88
 6A13   1      93       69
 6A14   0      76       70
 6A15   0      98       82
 6A16   0      96       96
 6A17   0      94       97
 6A18   0      87       87
 6B01   1      83       74
 6B02   1      80       65
 6B03   1      81       62
 6B04   1      80       63
 6B05   1      27       22
 6B06   1      84       80
 6B07   1      80       71
 6B08   1      96       89
 6B09   1      78       76
 6B10   1      70       60
 6B11   1      75       62
 6B12   1      85       77
 6B13   0      86       81
 6B14   0      83       85
 6B15   0      75       70
 6B16   0      97       94
 6B17   0      59       26
 6B18   0      51       49
